"","index","usage","solar","rate","battery"
"583",583,1.73336,0,0.2662364,0
"584",584,1.64993,0.0562603,0.2662364,0
"585",585,1.51598,0.181948,0.2662364,5
"586",586,1.34235,0.401487,0.2662364,5
"587",587,1.17053,1.53381,0.34301372,-5
"588",588,1.15732,1.79256,0.34301372,5
"589",589,1.12044,0.962503,0.34301372,5
"590",590,1.09751,0.621616,0.45828372,-5
"591",591,1.08697,0.313288,0.45828372,-5
"592",592,1.15315,0.374441,0.45828372,0
"593",593,1.54286,0.16511,0.45828372,0
"594",594,2.09114,0,0.45828372,0
"595",595,2.25767,0,0.45828372,0
"596",596,2.21375,0,0.34301372,0
"597",597,2.1965,0,0.34301372,0
"598",598,1.92104,0,0.2662364,0
"599",599,1.57913,0,0.2662364,0
"600",600,1.28782,0,0.2662364,0
"601",601,1.10068,0,0.2662364,0
"602",602,1.0831,0,0.2662364,0
"603",603,1.08353,0,0.2662364,0
"604",604,1.07837,0,0.2662364,0
"605",605,1.18937,0,0.2662364,0
"606",606,1.43012,0,0.2662364,0
"607",607,1.7011,0,0.2662364,0
"608",608,1.61521,0,0.2662364,0
"609",609,1.49929,0.250121,0.2662364,5
"610",610,1.34113,0.554081,0.2662364,5
"611",611,1.14943,1.54534,0.34301372,-5
"612",612,1.11748,2.05696,0.34301372,5
"613",613,1.07297,2.81894,0.34301372,5
"614",614,1.05455,1.38737,0.45828372,-5
"615",615,1.04443,0.484091,0.45828372,-5
"616",616,1.11966,1.64891,0.45828372,0
"617",617,1.51465,0.152935,0.45828372,0
"618",618,2.00415,0,0.45828372,0
"619",619,2.23113,0,0.45828372,0
"620",620,2.18702,0,0.34301372,0
"621",621,2.16764,0,0.34301372,0
"622",622,1.88119,0,0.2662364,0
"623",623,1.5322,0,0.2662364,0
"624",624,1.2447,0,0.2662364,0
"625",625,1.06828,0,0.2662364,0
"626",626,1.05256,0,0.2662364,0
"627",627,1.04647,0,0.2662364,0
"628",628,1.03784,0,0.2662364,0
"629",629,1.15201,0,0.2662364,0
"630",630,1.40006,0,0.2662364,0
"631",631,1.68338,0,0.2662364,0
"632",632,1.59834,0.00211181,0.2662364,0
"633",633,1.44977,0.317361,0.2662364,5
"634",634,1.26937,1.18571,0.2662364,5
"635",635,1.10158,0.55519,0.34301372,-5
"636",636,1.09485,0.940762,0.34301372,5
"637",637,1.06587,2.5945,0.34301372,5
"638",638,1.06426,0.67798,0.45828372,-5
"639",639,1.05782,0.276689,0.45828372,-5
"640",640,1.12608,0.178506,0.45828372,0
"641",641,1.50427,0.0589808,0.45828372,0
"642",642,1.97773,0,0.45828372,0
"643",643,2.20509,0,0.45828372,0
"644",644,2.16527,0,0.34301372,0
"645",645,2.1534,0,0.34301372,0
"646",646,1.87897,0,0.2662364,0
"647",647,1.52944,0,0.2662364,0
"648",648,1.25005,0,0.2662364,0
"649",649,1.07829,0,0.2662364,0
"650",650,1.06111,0,0.2662364,0
"651",651,1.05967,0,0.2662364,0
"652",652,1.06928,0,0.2662364,0
"653",653,1.18506,0,0.2662364,0
"654",654,1.42793,0,0.2662364,0
"655",655,1.7046,0,0.2662364,0
"656",656,1.61634,0,0.2662364,0
"657",657,1.37006,0.134154,0.2662364,5
"658",658,1.19194,1.09868,0.2662364,5
"659",659,1.00778,0.946713,0.34301372,-5
"660",660,0.992253,0.312758,0.34301372,5
"661",661,0.97291,0.354002,0.34301372,5
"662",662,0.934764,2.75653,0.45828372,-5
"663",663,0.908164,2.15509,0.45828372,-5
"664",664,0.976819,1.74889,0.45828372,0
"665",665,1.37937,0.673087,0.45828372,0
"666",666,1.99134,0,0.45828372,0
"667",667,2.22254,0,0.45828372,0
"668",668,2.17361,0,0.34301372,0
