i,v
1854,0
1855,0.00717828
1856,0.546776
1857,1.6441
1858,2.47364
1859,2.85594
1860,2.22321
1861,3.51816
1862,3.29148
1863,2.71178
1864,2.26724
1865,1.42575
1866,0.506399
1867,0
1868,0
1869,0
1870,0
1871,0
1872,0
1873,0
1874,0
1875,0
1876,0
1877,0
1878,0
1879,0.0514701
1880,0.814194
1881,1.73482
1882,2.50567
1883,3.03596
1884,3.33242
1885,3.49145
1886,3.15723
1887,2.74009
1888,1.53717
1889,1.34427
1890,0.55004
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0.0637289
1904,0.836726
1905,1.8478
1906,2.52561
1907,3.06051
1908,3.35499
1909,3.05857
1910,3.3013
1911,2.99649
1912,2.26155
1913,1.40817
1914,0.536334
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0.0667257
1928,0.869813
1929,1.90416
1930,2.65655
1931,3.32687
1932,3.66283
1933,3.60905
1934,3.2911
1935,2.72272
1936,2.36281
1937,1.47104
1938,0.525424
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0.0801972
1952,0.87221
1953,1.87245
1954,2.45183
1955,3.18157
1956,2.85487
1957,3.38284
1958,1.51523
1959,1.16336
1960,2.14196
1961,1.22696
1962,0.389322
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0.0695118
1976,0.679104
1977,1.80065
1978,2.65373
1979,3.2082
1980,3.47701
1981,3.40906
1982,3.03041
1983,2.82655
1984,2.24437
1985,1.46488
1986,0.466064
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0.0590651
2000,0.859633
2001,1.77429
2002,2.58065
2003,2.98585
2004,3.49112
2005,3.4994
2006,3.41112
2007,2.97802
2008,2.17858
2009,1.20817
2010,0.620694
2011,0
2012,0
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0
2020,0
2021,0
2022,0
2023,0.0998076
2024,0.910073
2025,1.83958
2026,2.46768
2027,3.15279
2028,3.38496
2029,3.52072
2030,3.02507
2031,2.27924
2032,0.634723
2033,1.39108
2034,0.515455
2035,0
2036,0
2037,0
2038,0
2039,0
2040,0
2041,0
2042,0
2043,0
2044,0
2045,0
2046,0
2047,0.0214552
2048,0.212277
2049,0.31451
2050,0.405238
2051,1.44091
2052,2.57488
2053,0.930165
2054,0.835583
2055,0.909398
2056,0.917546
2057,0.905006
2058,0.419726
2059,0
2060,0
2061,0
2062,0
2063,0
2064,0
2065,0
2066,0
2067,0
2068,0
2069,0
2070,0
2071,0.122162
2072,0.758383
2073,1.54975
2074,2.58697
2075,2.9744
2076,3.10841
2077,3.39553
2078,3.23081
2079,2.91085
2080,2.21503
2081,1.16794
2082,0.394585
2083,0
2084,0
2085,0
2086,0
2087,0
2088,0
2089,0
2090,0
2091,0
2092,0
2093,0
2094,0
2095,0.11733
2096,0.94699
2097,1.80365
2098,2.43299
2099,3.12057
2100,3.44844
2101,3.47896
2102,3.27654
2103,2.89586
2104,2.22217
2105,1.44946
2106,0.57887
2107,0
2108,0
2109,0
2110,0
2111,0
2112,0
2113,0
2114,0
2115,0
2116,0
2117,0
2118,0
2119,0.124929
2120,0.993454
2121,1.92719
2122,2.69631
2123,3.14276
2124,3.40832
2125,3.45433
2126,3.36732
2127,2.93227
2128,2.35325
2129,1.42143
2130,0.503828
2131,0
2132,0
2133,0
2134,0
2135,0
2136,0
2137,0
2138,0
2139,0
2140,0
2141,0
2142,0
2143,0.130759
2144,0.964526
2145,1.90966
2146,2.47738
2147,3.18926
2148,3.43557
2149,3.47709
2150,3.36214
2151,2.9102
2152,2.28723
2153,1.43423
2154,0.605968
2155,0
2156,0
2157,0
2158,0
2159,0
2160,0
2161,0
2162,0
2163,0
2164,0
2165,0
2166,0
2167,0.137118
2168,0.99979
2169,1.48887
2170,2.52168
2171,3.32248
2172,3.61628
2173,3.72555
2174,3.49939
2175,3.00421
2176,2.38089
2177,1.49605
2178,0.613104
2179,0
2180,0
2181,0
2182,0
2183,0
2184,0
2185,0
2186,0
2187,0
2188,0
2189,0
2190,0
2191,0.146202
2192,1.01668
2193,1.96114
2194,2.83134
2195,3.20771
2196,3.53335
2197,3.61013
2198,3.51121
2199,3.06594
2200,2.33765
2201,1.47196
2202,0.582976
2203,0
2204,0
2205,0
2206,0
2207,0
2208,0
2209,0
2210,0
2211,0
2212,0
2213,0
2214,0
2215,0.0645764
2216,0.549941
2217,1.00127
2218,2.74555
2219,2.67075
2220,3.4626
2221,3.519
2222,3.31224
2223,2.92368
2224,2.02204
2225,0.28317
2226,0.671326
2227,0
2228,0
2229,0
2230,0
2231,0
2232,0
2233,0
2234,0
2235,0
2236,0
2237,0
2238,0
2239,0.16717
2240,1.06738
2241,2.01494
2242,2.81281
2243,3.44104
2244,3.79244
2245,3.69232
2246,3.46172
2247,2.95771
2248,2.36115
2249,1.49107
2250,0.613769
2251,0
2252,0
2253,0
2254,0
2255,0
2256,0
2257,0
2258,0
2259,0
2260,0
2261,0
2262,0
2263,0.130487
2264,0.361499
2265,0.586109
2266,0.398818
2267,0.847088
2268,0.644903
2269,0.528392
2270,2.27033
2271,2.53821
2272,1.36748
2273,0.921934
2274,0.602488
2275,0
2276,0
2277,0
2278,0
2279,0
2280,0
2281,0
2282,0
2283,0
2284,0
2285,0
2286,0
2287,0.191706
2288,0.471308
2289,1.78499
2290,1.69961
2291,2.17469
2292,3.38286
2293,1.17667
2294,3.24752
2295,0.574754
2296,0.315292
2297,1.46391
2298,0.629413
2299,0
2300,0
2301,0
2302,0
2303,0
2304,0
2305,0
2306,0
2307,0
2308,0
2309,0
2310,0
2311,0.109009
2312,0.430687
2313,0.345555
2314,0.973137
2315,0.5695
2316,0.527414
2317,0.7147
2318,0.748442
2319,0.420461
2320,0.715435
2321,0.480088
2322,0.474768
2323,0
2324,0
2325,0
2326,0
2327,0
2328,0
2329,0
2330,0
2331,0
2332,0
2333,0
2334,0
2335,0.199657
2336,0.877436
2337,1.48328
2338,2.64058
2339,2.66707
2340,3.0635
2341,1.97484
2342,1.25142
2343,2.51604
2344,0.611994
2345,1.43004
2346,0.659315
2347,0
2348,0
2349,0
2350,0
2351,0
2352,0
2353,0
2354,0
2355,0
2356,0
2357,0
2358,0
2359,0.215245
2360,1.12842
2361,2.1161
2362,2.93067
2363,3.511
2364,3.40111
2365,3.71378
2366,3.26135
